Facility Name,Facility Address,Utility Type,Measure,Use,Cost,Month,Month_Num,Year
117,117 N Mason,Natural Gas,CCF,678,548.8,March,3,2007
117,117 N Mason,Natural Gas,CCF,660,464.13,April,4,2007
117,117 N Mason,Natural Gas,CCF,166,129.37,May,5,2007
117,117 N Mason,Natural Gas,CCF,46,47.77,June,6,2007
117,117 N Mason,Natural Gas,CCF,10,25.08,July,7,2007
117,117 N Mason,Natural Gas,CCF,6,25.72,August,8,2007
117,117 N Mason,Natural Gas,CCF,33,41.35,September,9,2007
117,117 N Mason,Natural Gas,CCF,294,157.1,October,10,2007
117,117 N Mason,Natural Gas,CCF,824,512.04,November,11,2007
117,117 N Mason,Natural Gas,CCF,1529,1144.94,December,12,2007
117,117 N Mason,Natural Gas,CCF,1810,1410.24,January,1,2008
117,117 N Mason,Natural Gas,CCF,1295,1125.89,February,2,2008
117,117 N Mason,Natural Gas,CCF,878,787.19,March,3,2008
117,117 N Mason,Natural Gas,CCF,690,639.18,April,4,2008
117,117 N Mason,Natural Gas,CCF,255,279.65,May,5,2008
117,117 N Mason,Natural Gas,CCF,53,73.84,June,6,2008
117,117 N Mason,Natural Gas,CCF,12,33.22,July,7,2008
117,117 N Mason,Natural Gas,CCF,16,38.05,August,8,2008
117,117 N Mason,Natural Gas,CCF,44,46.72,September,9,2008
117,117 N Mason,Natural Gas,CCF,358,252.76,October,10,2008
117,117 N Mason,Natural Gas,CCF,736,512.29,November,11,2008
117,117 N Mason,Natural Gas,CCF,1684,1300.25,December,12,2008
117,117 N Mason,Natural Gas,CCF,1301,966.21,January,1,2009
117,117 N Mason,Natural Gas,CCF,1165,845.05,February,2,2009
117,117 N Mason,Natural Gas,CCF,828,563.24,March,3,2009
117,117 N Mason,Natural Gas,CCF,880,487.11,April,4,2009
117,117 N Mason,Natural Gas,CCF,237,131.83,May,5,2009
117,117 N Mason,Natural Gas,CCF,152,105.76,June,6,2009
117,117 N Mason,Natural Gas,CCF,7,24.86,July,7,2009
117,117 N Mason,Natural Gas,CCF,6,24.23,August,8,2009
117,117 N Mason,Natural Gas,CCF,65,53.26,September,9,2009
117,117 N Mason,Natural Gas,CCF,371,265.94,October,10,2009
117,117 N Mason,Natural Gas,CCF,962,670.4,November,11,2009
117,117 N Mason,Natural Gas,CCF,1237,878.79,December,12,2009
117,117 N Mason,Natural Gas,CCF,1428,1003.22,January,1,2010
117,117 N Mason,Natural Gas,CCF,1365,956.9,February,2,2010
117,117 N Mason,Natural Gas,CCF,1962,1336.67,March,3,2010
117,117 N Mason,Natural Gas,CCF,471,238.43,April,4,2010
117,117 N Mason,Natural Gas,CCF,263,139.69,May,5,2010
117,117 N Mason,Natural Gas,CCF,6,24.11,June,6,2010
117,117 N Mason,Natural Gas,CCF,25,31.78,July,7,2010
117,117 N Mason,Natural Gas,CCF,5,23.29,August,8,2010
117,117 N Mason,Natural Gas,CCF,22,30.28,September,9,2010
117,117 N Mason,Natural Gas,CCF,107,86.15,October,10,2010
117,117 N Mason,Natural Gas,CCF,546,369.49,November,11,2010
117,117 N Mason,Natural Gas,CCF,984,659.5,December,12,2010
117,117 N Mason,Natural Gas,CCF,1094,746.46,January,1,2011
117,117 N Mason,Natural Gas,CCF,1112,755.54,February,2,2011
117,117 N Mason,Natural Gas,CCF,662,447.56,March,3,2011
117,117 N Mason,Natural Gas,CCF,436,259.7,April,4,2011
117,117 N Mason,Natural Gas,CCF,281,170.31,May,5,2011
117,117 N Mason,Natural Gas,CCF,47,45.32,June,6,2011
117,117 N Mason,Natural Gas,CCF,5,23.85,July,7,2011
117,117 N Mason,Natural Gas,CCF,2,22.45,August,8,2011
117,117 N Mason,Natural Gas,CCF,29,39.57,September,9,2011
117,117 N Mason,Natural Gas,CCF,133,103.52,October,10,2011
117,117 N Mason,Natural Gas,CCF,734,489.19,November,11,2011
117,117 N Mason,Natural Gas,CCF,1387,921.01,December,12,2011
117,117 N Mason,Natural Gas,CCF,1056,692.95,January,1,2012
117,117 N Mason,Natural Gas,CCF,1031,682.77,February,2,2012
117,117 N Mason,Natural Gas,CCF,475,323.44,March,3,2012
117,117 N Mason,Natural Gas,CCF,227,131.88,April,4,2012
117,117 N Mason,Natural Gas,CCF,100,74.9,May,5,2012
117,117 N Mason,Natural Gas,CCF,9,36.71,June,6,2012
117,117 N Mason,Natural Gas,CCF,3,34.08,July,7,2012
117,117 N Mason,Natural Gas,CCF,3,34.03,August,8,2012
117,117 N Mason,Natural Gas,CCF,16,38.78,September,9,2012
117,117 N Mason,Natural Gas,CCF,206,142.99,October,10,2012
117,117 N Mason,Natural Gas,CCF,666,400.6,November,11,2012
117,117 N Mason,Natural Gas,CCF,1114,658.3,December,12,2012
117,117 N Mason,Natural Gas,CCF,1263,735.73,January,1,2013
117,117 N Mason,Natural Gas,CCF,1207,699.72,February,2,2013
117,117 N Mason,Natural Gas,CCF,933,542.67,March,3,2013
117,117 N Mason,Natural Gas,CCF,746,428.36,April,4,2013
117,117 N Mason,Natural Gas,CCF,233,152.84,May,5,2013
117,117 N Mason,Natural Gas,CCF,39,53.14,June,6,2013
117,117 N Mason,Natural Gas,CCF,10,37.91,July,7,2013
117,117 N Mason,Natural Gas,CCF,28,51.23,August,8,2013
117,117 N Mason,Natural Gas,CCF,58,70.24,September,9,2013
117,117 N Mason,Natural Gas,CCF,395,269.71,October,10,2013
117,117 N Mason,Natural Gas,CCF,746,484.69,November,11,2013
117,117 N Mason,Natural Gas,CCF,1563,992.57,December,12,2013
117,117 N Mason,Natural Gas,CCF,1153,775.96,January,1,2014
117,117 N Mason,Natural Gas,CCF,1213,823.68,February,2,2014
117,117 N Mason,Natural Gas,CCF,848,572.61,March,3,2014
117,117 N Mason,Natural Gas,CCF,607,420.75,April,4,2014
117,117 N Mason,Natural Gas,CCF,443,314.07,May,5,2014
117,117 N Mason,Natural Gas,CCF,206,162.11,June,6,2014
117,117 N Mason,Natural Gas,CCF,57,72.8,July,7,2014
117,117 N Mason,Natural Gas,CCF,49,67.84,August,8,2014
117,117 N Mason,Natural Gas,CCF,107,108.58,September,9,2014
117,117 N Mason,Natural Gas,CCF,183,149.47,October,10,2014
117,117 N Mason,Natural Gas,CCF,780,537.67,November,11,2014
117,117 N Mason,Natural Gas,CCF,1179,807.24,December,12,2014
117,117 N Mason,Natural Gas,CCF,1194,784.05,January,1,2015
117,117 N Mason,Natural Gas,CCF,950,621.88,February,2,2015
117,117 N Mason,Natural Gas,CCF,715,469.15,March,3,2015
117,117 N Mason,Natural Gas,CCF,487,265.04,April,4,2015
117,117 N Mason,Natural Gas,CCF,394,219.62,May,5,2015
117,117 N Mason,Natural Gas,CCF,69,66.36,June,6,2015
117,117 N Mason,Natural Gas,CCF,32,49.95,July,7,2015
117,117 N Mason,Natural Gas,CCF,24,46.99,August,8,2015
117,117 N Mason,Natural Gas,CCF,58,62.5,September,9,2015
117,117 N Mason,Natural Gas,CCF,236,155.12,October,10,2015
117,117 N Mason,Natural Gas,CCF,680,384.39,November,11,2015
117,117 N Mason,Natural Gas,CCF,1262,696.93,December,12,2015
117,117 N Mason,Natural Gas,CCF,1079,552.45,January,1,2016
117,117 N Mason,Natural Gas,CCF,785,402.45,February,2,2016
117,117 N Mason,Natural Gas,CCF,571,299.95,March,3,2016
117,117 N Mason,Natural Gas,CCF,341,171.67,April,4,2016
117,117 N Mason,Natural Gas,CCF,280,145.32,May,5,2016
117,117 N Mason,Natural Gas,CCF,37,52.21,June,6,2016
117,117 N Mason,Natural Gas,CCF,2,40.2,July,7,2016
117,117 N Mason,Natural Gas,CCF,5,41.78,August,8,2016
117,117 N Mason,Natural Gas,CCF,24,50.25,September,9,2016
117,117 N Mason,Natural Gas,CCF,199,136.78,October,10,2016
117,117 N Mason,Natural Gas,CCF,470,270.96,November,11,2016
117,117 N Mason,Natural Gas,CCF,995,551.5,December,12,2016
117,117 N Mason,Natural Gas,CCF,1068,631.5,January,1,2017
117,117 N Mason,Natural Gas,CCF,752,450.33,February,2,2017
117,117 N Mason,Natural Gas,CCF,433,279.4,March,3,2017
117,117 N Mason,Natural Gas,CCF,288,179.43,April,4,2017
117,117 N Mason,Natural Gas,CCF,258,163.6,May,5,2017
117,117 N Mason,Natural Gas,CCF,36,56.09,June,6,2017
117,117 N Mason,Natural Gas,CCF,3,41.76,July,7,2017
